province,year,spending_budgetfund,spending_socialsafety,revenue_all,spending_all,spending_centralbond_reissuance,revenue_vehicleoper_tax,revenue_cityconstrtax,revenue_landuse_tax,spending_normalbond_balance,revenue_normalbond_lastyear,spending_debtservice,revenue_debt_onbook,spending_fund_transfer,revenue_budgetfund_transfer,revenue_fund_transfer,revenue_allnontax,spending_foreign,spending_grain,revenue_penalty,revenue_house_tax,revenue_incometax_ind,revenue_agriland_tax,revenue_capitalincome,revenue_lease,revenue_centralbond_reissue,spending_centralbond_balance,revenue_centralbond_lastyear,计划单列市上解省支出,接受其他地区援助收入,spending_health,revenue_donation,spending_RD,total_residual,spending_debtinterest,spending_debt_admin,spending_others,spending_culture,revenue_other_nontax,revenue_other_tax,revenue_incometax_corp,revenue_deed_tax,spending_defense,spending_central_transfer,revenue_residual_lastyear,省补助计划单列市收入,spending_environment,spending_landmanage,spending_agricultureland,spending_housesecure,spending_financialregulation,spending_donation,spending_transportation,spending_regulation,spending_commerce,spending_urbanaffairs,total_balance,spending_security,revenue_landappr_tax,spending_education,revenue_adminfee,revenue_tobacco_tax,revenue_alltax,spending_publicservice,revenue_stamp_tax,revenue_business_tax,spending_specialdonation,spending_budgetbuffer,revenue_vat,revenue_housefund,支出总计,revenue_central_transfer,revenue_specialprogram,revenue_resourcetax,en_province,revenue_vehiclepurch_tax
广东省,2015,1803.91,1064.91,9366.78,12827.8,0.05,69.97,457.05,143.69,46.64,NA,1030.84,1326,3.15,698.34,2428.88,1989.71,NA,67.6,155.77,241,510.14,95.38,62.7,355.19,NA,0.44,0.48,NA,NA,918.36,NA,569.55,1307.57,22.45,1.35,428.1,194.58,409.09,NA,1303.11,427.24,16.48,247.99,1836.37,NA,322.33,117.2,811.9,357.29,141.17,70.42,1982.63,525.38,147.85,1174.16,17247.32,834.54,576.75,2040.65,408.19,1.62,7377.07,1018.91,141.41,2054,NA,21.06,1339.16,NA,17247.32,1590.47,598.77,16.55,Guangdong,NA
广东省,2016,1883.18,1146.31,10390.35,13446.09,NA,73.59,491.74,133.61,61.53,40.89,1292.6,1588.87,0.13,1487.11,1714.15,2291.72,0.19,56.44,152.67,243.97,638.11,76.68,54.23,401.25,NA,0.47,0.47,NA,NA,1121.83,7.65,742.97,1173.85,81.64,1.53,18.26,229.71,390.43,NA,1492.08,513.67,12.46,220.87,1313.31,NA,297.45,77.8,715.44,662.85,159.47,83.74,1014.52,772.96,203.33,1515.29,18126.93,1066.08,681.58,2318.47,328.3,1.55,8098.63,1147.35,119.47,1036.42,NA,48.22,2579.49,94.18,18126.93,1591.78,863.02,16.7,Guangdong,NA
广西壮族自治区,2014,104.89,387.18,1422.28,3479.79,NA,10.59,53.14,23.45,NA,NA,30,111,8.93,59.62,115.83,444.21,NA,20.61,35.3,23.56,30.22,104.18,103.89,106.73,NA,NA,NA,NA,NA,355.33,NA,59.93,243.52,23.39,NA,39.33,68.52,41.27,NA,109.35,75.24,9.93,7.24,220.54,NA,84,39.04,391.29,114.67,2.65,NA,204.92,119.58,31.35,269.34,3874.57,192.22,68.3,660.53,114.04,1.26,978.07,405.99,13.96,321.26,0.2,NA,126.45,NA,3874.57,1945.31,42.99,17.1,Guangxi,NA
广西壮族自治区,2015,161.99,460.63,1515.16,4065.51,NA,12.49,63.56,26.05,11.1,NA,749.94,890,0.05,100.29,229.7,483.51,0.46,23.28,40.01,27.52,34.76,128.25,88.24,96.59,NA,NA,NA,NA,NA,413.87,NA,49.63,188.96,16.44,0.83,26.73,79,33.55,NA,109.74,77.15,9.87,8.55,243.52,NA,98.68,45.75,497.53,173.96,33.79,NA,237.83,128.61,45.56,317.52,5185.69,220.55,57.09,789.69,97.81,0.83,1031.65,395.3,14.27,321.9,NA,0.41,139.99,NA,5185.69,2207.03,127.31,18.06,Guangxi,NA
广西壮族自治区,2016,167.69,538.95,1556.27,4441.7,NA,14.62,61.15,26.14,2.09,11.1,503.25,766.57,NA,171.74,147.82,520.05,0.11,20.95,41,30.71,40.16,122.07,85.76,115.03,NA,NA,NA,NA,NA,468.19,2.14,45.2,147.34,56.69,0.85,26.57,71.08,33.06,NA,117.03,88.03,9.02,10.05,188.96,NA,90.7,44.11,573.48,185.55,5.28,NA,217.12,113.55,40.71,364.99,5271.91,263.28,62.58,854.55,105.12,0.85,1036.22,450.78,14.2,156,NA,-0.22,285.46,17.77,5271.91,2429.45,120.16,17.22,Guangxi,NA
贵州省,2014,170.72,299.72,1366.67,3542.8,NA,7.3,57.64,18.44,NA,NA,27,112,2.01,102.73,35.05,339.97,NA,8.43,33.29,23.43,32.52,122.03,12.91,96.74,NA,0.11,0.11,NA,NA,303.25,NA,44.34,168.51,16.42,NA,74.62,54.69,61.21,NA,123.84,66.93,5.25,4.71,156.49,NA,85.34,26.31,447.19,289,0.52,NA,432.01,85.82,21.12,101.29,3915.89,187.97,64.64,637.03,70.73,19.73,1026.7,422.49,11.64,344.49,0.02,NA,117.03,NA,3915.89,2142.83,65.08,17.05,Guizhou,NA
贵州省,2015,376.51,340.33,1503.38,3939.5,NA,8.64,59.8,27.91,109.94,NA,1267.16,1426.1,28.87,199.32,147.39,377.35,NA,14.83,32.6,29.48,33.27,146.26,15.8,114.17,NA,0.11,0.11,NA,NA,360.8,NA,58.68,64.43,23.98,1.46,45.57,61.2,42.7,NA,127.35,73.4,5.09,5.46,168.51,NA,96.49,40.73,534.26,298.44,0.79,NA,392.25,94.46,24.97,127.71,5792,215.95,86.57,772.91,75.72,22.05,1126.03,428.61,13.08,353.08,NA,0.02,120.47,NA,5792,2347.19,96.34,24.67,Guizhou,NA
贵州省,2016,417.03,367.23,1561.34,4262.36,NA,9.91,61.92,30.12,13.07,109.94,1647.43,1604.63,-24.7,321.11,162.46,440.9,NA,10.35,38.85,30.51,35.08,146.15,43.12,139.69,NA,0.11,0.11,NA,NA,392.51,10.74,69.3,84.7,76.05,1.61,76.18,67.34,30.14,NA,127.12,91.92,4.55,3.79,62.66,NA,127.09,28.43,629.38,291.73,4.32,NA,289.97,123.76,31.05,131.91,6404.03,249.96,95.01,843.54,72.48,15.46,1120.44,446.11,17.88,179.92,NA,0.23,256.28,17.44,6404.03,2581.79,88.45,23.15,Guizhou,NA
海南省,2014,52,142.52,555.31,1099.74,NA,2.56,18.82,20.71,NA,NA,14,60,3.55,31.71,72.39,74.75,0.82,3.21,9.5,12.52,13.42,13.68,10.76,14.75,NA,NA,NA,NA,NA,88.46,NA,13.53,83.34,6.07,NA,37.46,23.51,6.34,NA,67.68,37.42,4.28,2.02,42.93,NA,23.28,14.25,146.3,39.37,1.64,NA,86.39,31.86,8.76,72.97,1254.69,67.71,75.22,175.95,21.3,NA,480.55,111.4,6.84,154.33,0.05,NA,54.72,NA,1254.69,492.35,12.11,2.63,Hainan,NA
海南省,2015,142.58,174.77,627.7,1239.43,NA,2.97,23.26,30.97,0.59,NA,122.67,164.75,0.42,48.16,88.62,113.39,1.1,3.17,11.29,15.87,17,12.74,11.86,31.06,NA,NA,NA,NA,NA,100.54,NA,12.38,41.43,7.56,0.21,25.97,25.48,5.53,NA,64.03,31.88,6.59,2.84,83.34,NA,31.54,13.12,164.24,48.26,0.53,NA,99.46,34.61,9.56,83.03,1549.95,77.14,75.55,206.84,14.3,NA,514.31,113.32,6.45,169.35,NA,0.01,61.56,NA,1549.95,537.39,39.35,2.68,Hainan,NA
